input_image,annotated_output,low_energy_ratio,mid_energy_ratio,high_energy_ratio,spectral_centroid,anisotropy,reason
data/images/image_0001.tiff,outputs/explained_transforms/annotated_side_by_side/0001_image_0001_annotated.png,0.964474,0.031246,0.004280,4.340329,1.592844,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0002.jpg,outputs/explained_transforms/annotated_side_by_side/0002_image_0002_annotated.png,0.967795,0.027606,0.004599,3.985608,1.848823,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0003.jpg,outputs/explained_transforms/annotated_side_by_side/0003_image_0003_annotated.png,0.992864,0.006071,0.001065,1.270901,2.275154,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0004.jpg,outputs/explained_transforms/annotated_side_by_side/0004_image_0004_annotated.png,0.990908,0.008424,0.000668,2.551858,2.430900,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0005.jpg,outputs/explained_transforms/annotated_side_by_side/0005_image_0005_annotated.png,0.983069,0.015191,0.001741,2.551115,1.372222,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0006.jpg,outputs/explained_transforms/annotated_side_by_side/0006_image_0006_annotated.png,0.985943,0.012788,0.001269,2.794847,1.687958,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0007.jpg,outputs/explained_transforms/annotated_side_by_side/0007_image_0007_annotated.png,0.995198,0.004089,0.000712,0.851552,1.194918,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0008.jpg,outputs/explained_transforms/annotated_side_by_side/0008_image_0008_annotated.png,0.983510,0.014013,0.002478,2.129951,1.927340,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0009.jpg,outputs/explained_transforms/annotated_side_by_side/0009_image_0009_annotated.png,0.987326,0.010038,0.002635,1.552200,1.349539,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0010.jpg,outputs/explained_transforms/annotated_side_by_side/0010_image_0010_annotated.png,0.970362,0.025656,0.003982,3.690584,1.022700,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0011.jpg,outputs/explained_transforms/annotated_side_by_side/0011_image_0011_annotated.png,0.991900,0.006654,0.001446,1.452543,1.287430,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0012.jpg,outputs/explained_transforms/annotated_side_by_side/0012_image_0012_annotated.png,0.998163,0.001530,0.000307,0.230545,5.625134,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0013.jpg,outputs/explained_transforms/annotated_side_by_side/0013_image_0013_annotated.png,0.998595,0.001212,0.000192,0.322922,3.249402,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0014.jpg,outputs/explained_transforms/annotated_side_by_side/0014_image_0014_annotated.png,0.976434,0.020318,0.003247,3.125647,1.717922,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0015.jpg,outputs/explained_transforms/annotated_side_by_side/0015_image_0015_annotated.png,0.990569,0.008173,0.001258,1.336383,1.836277,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0016.jpg,outputs/explained_transforms/annotated_side_by_side/0016_image_0016_annotated.png,0.990255,0.008511,0.001234,1.061192,3.487690,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0017.jpg,outputs/explained_transforms/annotated_side_by_side/0017_image_0017_annotated.png,0.999070,0.000818,0.000112,0.194230,1.260966,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0018.jpg,outputs/explained_transforms/annotated_side_by_side/0018_image_0018_annotated.png,0.995889,0.003495,0.000615,0.533449,4.275215,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0019.jpg,outputs/explained_transforms/annotated_side_by_side/0019_image_0019_annotated.png,0.989287,0.009332,0.001382,1.093482,1.521262,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0020.jpg,outputs/explained_transforms/annotated_side_by_side/0020_image_0020_annotated.png,0.986432,0.011217,0.002351,1.630205,1.076612,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0021.jpg,outputs/explained_transforms/annotated_side_by_side/0021_image_0021_annotated.png,0.931984,0.054108,0.013908,7.687819,1.028247,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0022.jpg,outputs/explained_transforms/annotated_side_by_side/0022_image_0022_annotated.png,0.994595,0.004982,0.000423,0.919189,1.474691,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0023.jpg,outputs/explained_transforms/annotated_side_by_side/0023_image_0023_annotated.png,0.977517,0.018637,0.003845,3.240085,1.212494,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0024.jpg,outputs/explained_transforms/annotated_side_by_side/0024_image_0024_annotated.png,0.989485,0.008458,0.002057,1.431446,1.051578,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0025.jpg,outputs/explained_transforms/annotated_side_by_side/0025_image_0025_annotated.png,0.992872,0.005663,0.001465,0.907612,1.802609,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
